World,Ranking Global,ExpPoints,Name,Level,Vocation,Achievement,Guild,Quota,Highscore Global,Highscore Vocation,Achievement Global,Achievement Vocation,PVP,Guild Exp,Guild Rank
02,261,3458444738,Dreiklord,255,wizard,361,Brazil Top,0,33,10,58,21,0,277979883,3
23,262,3457392311,Tevada,255,wizard,366,Angkor Kh,0,13,4,55,17,0,41856276,12
15,263,3453255008,Voxcy,255,wizard,415, ,0,24,7,27,8,0,0,0
35,264,3447484416,Ltdna,255,warrior,353, ,0,14,11,30,16,0,0,0
09,265,3447024450,Lorenz,255,wizard,423, ,0,14,3,7,5,0,0,0
32,266,3444880559,Jackatlas,255,warrior,465, ,0,19,13,5,3,0,0,0
32,267,3443861259,Iconz,255,warrior,399,5 G G 5,0,20,14,31,22,0,17455939,27
35,268,3441335908,Hunter,254,warrior,280,Guardioes,0,15,12,0,55,0,3750748,18
15,269,3441053822,Anss,254,warrior,350,Deadlysinz,0,25,18,0,70,0,36420969,17
09,270,3440111740,Andylau,254,warrior,291,The Hero,0,15,12,0,0,0,441282249,1
15,271,3438079835,Airforce,254,warrior,390,Crown Eye,0,26,19,48,29,0,12271879,33
01,272,3437585139,Shisui,254,warrior,423,After Rain,0,43,26,25,14,0,32832263,23
33,273,3436581250,Hallo,254,warrior,350,Texas,0,24,13,55,33,0,548214731,1
34,274,3435833796,Mepanda,254,wizard,334,Reverse,0,18,4,30,10,0,429132582,1
11,275,3435709698,Masha,254,warrior,330,Holy Nitro,0,20,15,0,0,0,35234136,18
02,276,3435122187,Del,254,wizard,361,Thekillers,0,34,11,57,20,0,8612933,36
33,277,3430789601,Warzzle,254,warrior,390,The Prayer,0,25,14,36,21,0,34317780,8
23,278,3430208043,Zero,254,warrior,409,Toxic Pro,9,14,10,19,13,37,3765027,53
15,279,3429567605,Alcatraz,254,warrior,257, ,0,27,20,0,0,0,0,0
09,280,3428782407,Indramu,254,wizard,265,Together,0,16,4,0,0,0,16595604,30
02,281,3428267381,Evxariss,254,wizard,376,Thekillers,0,35,12,43,14,0,8612933,36
15,282,3424781673,Irissa,254,wizard,399,Hakka,0,28,8,41,16,0,464833013,2
01,283,3423964264,Fast,254,warrior,150,The Best,0,44,27,0,0,0,0,0
33,284,3418732921,Home,254,warrior,454,Texas,0,26,15,6,6,0,548214731,1
36,285,3416711066,Vintorez,254,warrior,431, ,0,24,18,7,6,0,0,0
07,286,3416702314,Reyezz,254,warrior,305,Life Alone,0,6,5,0,68,0,192421753,2
11,287,3415505556,Sweetgirls,254,wizard,331,Legends Id,0,21,6,0,66,0,11234414,49
33,288,3414986011,Profesorr,254,wizard,377,8 Dewa,10,27,12,42,16,32,156051651,2
09,289,3414526991,Binancex,254,warrior,311,D A M A I,0,17,13,0,76,0,96204444,6
01,290,3408665495,Jabulani,254,wizard,263,Dead End,0,45,18,0,0,0,21901493,35
09,291,3407351724,Giryu,254,warrior,318,M V P,0,18,14,0,60,0,13915659,35
02,292,3404220811,Evgeniy,254,warrior,216,Thekillers,0,36,24,0,0,0,8612933,36
33,293,3402948363,Sea,254,warrior,345,Texas,0,28,16,60,38,0,548214731,1
34,294,3399265543,Xzq,254,warrior,286,L A N L A,0,19,15,70,48,0,91116146,3
